Frame,X_img,Y_img,visible
10812,,,0
10818,,,0
10824,,,0
10830,,,0
10836,,,0
10842,,,0
10848,,,0
10854,,,0
10860,,,0
10866,680.5,550.9,1
10872,680.0,579.5,1
10878,626.4,584.1,1
10890,578.7,578.9,1
10896,658.4,599.0,1
10902,713,600,1
10908,837.0,511.7,1
10914,901.5,459.9,1
10920,890.5,437.2,1
10926,867,427,1
10932,821,443,1
10938,574,472,1
10944,459,497,1
10950,559,476,1
10956,893,425,1
10962,1008,414,1
10968,926,400,1
10974,866,411,1
10980,832,410,1
10986,938,393,1
10992,1042,380,1
10998,1059,370,1
11004,1010,369,1
11010,,,0
11016,1230.3,399.5,1
11022,1250,411,1
11028,1250,424,1
11034,,,0
11040,,,0
11046,,,0
11052,,,0
11058,,,0
11064,,,0
11070,,,0
11076,,,0
11082,,,0
11088,,,0
11094,,,0
11100,,,0
11106,,,0
11112,,,0
11118,,,0
11124,,,0
11130,,,0
11136,,,0
11142,,,0
11148,,,0
11154,,,0
11160,,,0
11166,,,0
11172,581,412,1
11178,665,374,1
11184,,,0
11190,847,163,1
11196,915,133,1
11202,978,205,1
11208,1101,413,1
11214,1306,705,1
11220,1241,804,1
11226,1153,783,1
11232,1030,739,1
11238,1050,707,1
11244,1087,681,1
11250,1025,665,1
11256,1028,644,1
11262,995,635,1
11268,1084,619,1
11274,1166,619,1
11280,1335,420,1
11286,,,0
11292,,,0
11298,,,0
11304,,,0
11310,,,0
11316,,,0
11322,,,0
11328,,,0
11334,,,0
11340,,,0
11346,,,0
11352,,,0
11358,,,0
11364,,,0
11370,,,0
11376,,,0
11382,,,0
11388,,,0
11394,,,0
11400,,,0
11406,,,0
11412,,,0
11418,,,0
11424,,,0
11430,,,0
11436,,,0
11442,,,0
11448,,,0
11454,,,0
11460,,,0
11466,,,0
11472,,,0
11478,,,0
11484,,,0
11490,,,0
11496,,,0
11502,,,0
11508,,,0
11514,,,0
11520,,,0
11526,,,0
11532,,,0
11538,,,0
11544,,,0
11550,,,0
11556,,,0
11562,,,0
11568,,,0
11574,,,0
11580,,,0
11586,,,0
11592,,,0
11598,,,0
11604,,,0
11610,,,0
11616,,,0
11622,,,0
11628,868,223,1
11634,,,0
11640,,,0
11646,,,0
11652,880,372,1
11658,952,374,1
11664,,,0
11670,,,0
11676,,,0
11682,,,0
11688,,,0
11694,1153,384,1
11700,1128,362,1
11706,1120,336,1
11712,1099,337,1
11718,1084,320,1
11724,1104,331,1
11730,1098,327,1
11736,1078,323,1
11742,1057,334,1
11748,1038,340,1
11754,1048,341,1
11760,1066,341,1
11766,1071,341,1
11772,1071,341,1
11778,1054,341,1
11784,1071,339,1
11790,1075,304,1
11796,1082,307,1
11802,1078,315,1
11808,1023,403,1
11814,1015,405,1
11820,1128,408,1
11826,,,0
11832,1274,399,1
11838,1184,397,1
11844,1080,401,1
11850,1188.3,421.8,1
11856,1275.1,435.4,1
