Frame,X_img,Y_img,visible
1,1422.9,495.9,1
4,1421.3,508.3,1
7,1420.3,523.0,1
10,1418.8,534.0,1
13,1419.0,548.9,1
16,1420.8,561.1,1
19,1425.8,572.6,1
22,1433.6,584.3,1
25,1439,594,1
28,1428,596,1
31,1420.2,594.8,1
34,1414.2,594.9,1
37,1409.9,596.6,1
40,1409.8,598.4,1
43,1410.5,600.5,1
46,1384.5,603.8,1
49,1269.8,618.7,1
52,,,0
55,1068,649,1
58,987.0,665.0,1
61,911.7,682.0,1
64,839.9,697.2,1
67,778.3,709.2,1
70,719,719,1
73,719,674,1
76,727.0,624.9,1
79,738,603,1
82,747,584,1
85,736,577,1
88,734,575,1
91,733,547,1
94,740,534,1
97,743.2,535.5,1
100,749.6,526.4,1
103,756.3,518.9,1
106,756,522,1
109,733.8,527.1,1
112,712.3,535.2,1
115,699.5,537.9,1
118,690.9,542.0,1
121,712,507,1
124,766,424,1
127,807,368,1
130,840,326,1
133,863,295,1
136,,,0
139,,,0
142,,,0
145,,,0
148,,,0
151,,,0
154,,,0
157,,,0
160,1031,320,1
163,,,0
166,,,0
169,,,0
172,1065,352,1
175,,,0
178,1059,354,1
181,1052,353,1
184,1052,353,1
187,1047,347,1
190,1038,348,1
193,1029,349,1
196,1017,353,1
199,1016,351,1
202,1014,357,1
205,1010,357,1
208,1001,354,1
211,1003,360,1
214,998,362,1
217,1000,363,1
220,999,363,1
223,991,358,1
226,977,355,1
229,961,354,1
232,952,349,1
235,942,351,1
238,935,346,1
241,928,343,1
244,923,341,1
247,905,333,1
250,876,338,1
253,,,0
256,837,329,1
259,826,325,1
262,819,326,1
265,772,341,1
268,,,0
271,,,0
274,,,0
277,,,0
280,,,0
283,,,0
286,,,0
289,,,0
292,,,0
295,,,0
298,,,0
301,,,0
304,,,0
307,,,0
310,,,0
313,,,0
316,,,0
319,,,0
322,,,0
325,,,0
328,,,0
331,,,0
334,,,0
337,,,0
340,,,0
343,,,0
346,,,0
349,,,0
352,,,0
355,,,0
358,,,0
361,,,0
364,,,0
367,,,0
370,,,0
373,,,0
376,,,0
379,,,0
382,,,0
385,,,0
388,,,0
391,,,0
394,,,0
397,,,0
400,,,0
403,,,0
406,,,0
409,,,0
412,,,0
415,,,0
418,,,0
421,,,0
424,,,0
427,,,0
430,,,0
433,,,0
436,,,0
439,,,0
442,,,0
445,,,0
448,,,0
451,,,0
454,,,0
457,,,0
460,,,0
463,,,0
466,,,0
469,,,0
472,,,0
475,,,0
478,,,0
481,,,0
484,,,0
487,,,0
490,,,0
493,,,0
496,,,0
499,,,0
502,,,0
505,,,0
508,,,0
511,,,0
514,,,0
517,,,0
520,,,0
523,,,0
526,,,0
529,,,0
532,,,0
535,,,0
538,,,0
541,,,0
544,518,382,1
547,522,376,1
550,528,371,1
553,531,365,1
556,532,358,1
559,532,356,1
562,538,357,1
565,547,357,1
568,562,357,1
571,570,355,1
574,576,355,1
577,580,355,1
580,583,355,1
583,588,353,1
586,593,353,1
589,594,358,1
592,596,359,1
595,596,359,1
598,593,359,1
601,590,358,1
604,590,358,1
607,582,357,1
610,575,356,1
613,570,356,1
616,568,353,1
619,559,352,1
622,546,355,1
625,541,354,1
628,538,353,1
631,537,354,1
634,535,359,1
637,529,362,1
640,519,361,1
643,506,361,1
646,496,371,1
649,486,375,1
652,470,386,1
655,460,403,1
658,438,426,1
661,427,452,1
664,419,491,1
667,411,521,1
670,399,562,1
673,391,630,1
676,385,710,1
679,373,784,1
682,,,0
685,,,0
688,,,0
691,,,0
694,,,0
697,,,0
700,,,0
703,,,0
706,,,0
709,,,0
712,,,0
715,,,0
718,,,0
721,,,0
724,,,0
727,,,0
730,,,0
733,,,0
736,,,0
739,,,0
742,,,0
745,,,0
748,,,0
751,,,0
754,,,0
757,,,0
760,,,0
763,,,0
766,,,0
769,,,0
772,,,0
775,,,0
778,,,0
781,,,0
784,,,0
787,,,0
790,,,0
793,,,0
796,,,0
799,765,782,1
802,772,794,1
805,893,793,1
808,1037,810,1
811,1129,852,1
814,1205,845,1
817,1258,815,1
820,1308,805,1
823,1345,814,1
826,1366,832,1
829,1422,820,1
832,1455,811,1
835,1488,817,1
838,1515,823,1
841,1552,808,1
844,1562,814,1
847,1572,797,1
850,1565,784,1
853,1565,782,1
856,1565,782,1
859,1568,781,1
862,1589,752,1
865,1630,720,1
868,1648,687,1
871,1661,659,1
874,1681,628,1
877,1687,616,1
880,1687,602,1
883,1681,604,1
886,1673,604,1
889,1663,597,1
892,1643,584,1
895,1638,578,1
898,1636,572,1
901,1634,570,1
904,1626,558,1
907,1616,544,1
910,1583,502,1
913,1560,471,1
916,1533,448,1
919,1517,427,1
922,1501,412,1
925,1487,398,1
928,1468,384,1
931,1455,371,1
934,1443,366,1
937,1431,364,1
940,1421,364,1
943,1411,362,1
946,1408,359,1
949,1403,357,1
952,1403,357,1
955,1398,349,1
958,1391,343,1
961,1328,326,1
964,1255,302,1
967,1191,279,1
970,1151,261,1
973,1103,247,1
976,1068,230,1
979,1048,227,1
982,,,0
985,996,200,1
988,997,201,1
991,993,195,1
994,983,191,1
997,983,192,1
1000,983,192,1
1003,,,0
1006,970,184,1
1009,962,178,1
1012,954,170,1
1015,,,0
1018,,,0
1021,,,0
1024,,,0
1027,,,0
1030,,,0
1033,,,0
1036,,,0
1039,,,0
1042,922,191,1
1045,906,185,1
1048,893,181,1
1051,878,182,1
1054,857,183,1
1057,838,184,1
1060,820,190,1
1063,808,192,1
1066,788,195,1
1069,778,199,1
1072,768,207,1
1075,715,232,1
1078,682,281,1
1081,649,337,1
1084,634,359,1
1087,615,386,1
1090,602,429,1
1093,691,381,1
1096,836,318,1
1099,983,263,1
1102,1094,229,1
1105,1181,213,1
1108,1297,199,1
1111,1385,213,1
1114,1446,235,1
1117,1500,266,1
1120,1550,275,1
1123,1591,254,1
1126,1618,243,1
1129,1650,244,1
1132,1681,254,1
1135,1698,263,1
1138,1722,247,1
