Team,Type,Subtype,Period,Start Frame,Start Time [s],End Frame,End Time [s],From,To,Start X,Start Y,End X,End Y,Verdict,Original Type
Home,PASS,,1,54072,4506.0,54079,4506.583,Player 10597,Player 10628,0.43172,0.36726,0.57051,0.3068,REJECTED,PASS
Home,PASS,,1,54105,4508.75,54115,4509.583,Player 10628,Player 10627,0.70462,0.32721,0.74864,0.22206,ACCEPTED,PASS
Home,PASS,,1,54130,4510.833,54239,4519.917,Player 10627,Player 10693,0.84312,0.13576,0.70629,0.06966,REJECTED,PASS
Home,PASS,,1,54399,4533.25,54423,4535.25,Player 10638,Player 10719,0.67024,0.21376,0.59643,0.07521,REJECTED,PASS
Home,BALL LOST,,1,54431,4535.917,54465,4538.75,Player 10719,,0.58309,0.09919,0.59467,0.26109,REJECTED,BALL LOST
Away,RECOVERY,,1,54465,4538.75,54465,4538.75,Player 10748,,0.59467,0.26109,0.59467,0.26109,REJECTED,RECOVERY
Away,BALL LOST,,1,54467,4538.917,54468,4539.0,Player 10748,,0.61736,0.25176,0.62871,0.24709,REJECTED,BALL LOST
Home,RECOVERY,,1,54468,4539.0,54468,4539.0,Player 10749,,0.62871,0.24709,0.62871,0.24709,REJECTED,RECOVERY
Home,PASS,,1,54483,4540.25,54501,4541.75,Player 10749,Player 10715,0.64373,0.21929,0.6512,0.10672,ACCEPTED,PASS
Home,BALL LOST,,1,54510,4542.5,54510,4542.5,Player 10715,,0.68003,0.11112,0.6651,-0.02228,REJECTED,BALL LOST
Away,SET PIECE,,1,54529,4544.083,54529,4544.083,Player 10763,,0.79041,0.17956,0.79041,0.17956,REJECTED,SET PIECE
Away,PASS,,1,54530,4544.167,54541,4545.083,Player 10763,Player 10767,0.79497,0.17507,0.834,0.13534,REJECTED,PASS
Away,PASS,,1,54546,4545.5,54568,4547.333,Player 10767,Player 10756,0.83022,0.13199,0.80878,0.23641,ACCEPTED,PASS
Home,BALL LOST,,1,54577,4548.083,54592,4549.333,Player 10758,,0.81081,0.24715,0.99605,0.08212,REJECTED,BALL LOST
Away,RECOVERY,,1,54592,4549.333,54592,4549.333,Player 10785,,0.99605,0.08212,0.99605,0.08212,REJECTED,RECOVERY
Away,BALL LOST,,1,54600,4550.0,54677,4556.417,Player 10785,,0.97828,0.12938,0.49787,0.26741,REJECTED,BALL LOST
Home,RECOVERY,,1,54677,4556.417,54677,4556.417,Player 10824,,0.49787,0.26741,0.49787,0.26741,REJECTED,RECOVERY
Home,PASS,,1,54681,4556.75,54743,4561.917,Player 10824,Player 10851,0.46871,0.34076,0.15858,0.51434,REJECTED,PASS
Home,BALL LOST,,1,54758,4563.167,54759,4563.25,Player 10851,,0.14083,0.53799,0.14262,0.54146,REJECTED,BALL LOST
Away,RECOVERY,,1,54759,4563.25,54759,4563.25,Player 10868,,0.14262,0.54146,0.14262,0.54146,REJECTED,RECOVERY
Away,BALL LOST,,1,54764,4563.667,54767,4563.917,Player 10868,,0.13595,0.54687,0.133,0.55362,REJECTED,BALL LOST
