Team,Type,Subtype,Period,Start Frame,Start Time [s],End Frame,End Time [s],From,To,Start X,Start Y,End X,End Y,Verdict,Original Type
Home,SET PIECE,,1,10879,906.583,10879,906.583,Player 2310,,0.2475,0.69821,0.2475,0.69821,REJECTED,SET PIECE
Home,BALL LOST,,1,10892,907.667,10894,907.833,Player 2310,,0.23282,0.71313,0.23906,0.71693,REJECTED,BALL LOST
Away,RECOVERY,,1,10894,907.833,10894,907.833,Player 2305,,0.23906,0.71693,0.23906,0.71693,REJECTED,RECOVERY
Away,PASS,,1,10904,908.667,10921,910.083,Player 2305,Player 2304,0.24556,0.70115,0.21746,0.52419,ACCEPTED,PASS
Away,PASS,,1,10922,910.167,11010,917.5,Player 2304,Player 2318,0.19013,0.52953,0.10579,0.25055,REJECTED,PASS
Home,PASS,,1,11238,936.5,11270,939.167,Player 2414,Player 2423,0.86096,0.49718,0.82696,0.65744,REJECTED,PASS
Home,PASS,,1,11276,939.667,11278,939.833,Player 2442,Player 2427,0.8278,0.69121,0.83339,0.63335,REJECTED,PASS
Home,BALL LOST,,1,11294,941.167,11294,941.167,Player 2429,,0.84059,0.52546,0.60406,-0.00034,REJECTED,BALL LOST
Home,SET PIECE,,1,11706,975.5,11706,975.5,Player 2457,,0.61456,0.42191,0.61456,0.42191,REJECTED,SET PIECE
Home,PASS,,1,11776,981.333,11845,987.083,Player 2457,Player 2502,0.60705,0.3603,0.63255,0.01701,REJECTED,PASS
Home,PASS,,1,11848,987.333,11872,989.333,Player 2502,Player 2507,0.63275,0.02949,0.85978,0.31979,REJECTED,PASS
Home,PASS,,1,11960,996.667,11971,997.583,Player 2507,Player 2511,0.89395,0.53625,0.83039,0.34244,REJECTED,PASS
Home,PASS,,1,12005,1000.417,12014,1001.167,Player 2540,Player 2549,0.72215,0.31021,0.68459,0.37966,ACCEPTED,PASS
Home,PASS,,1,12019,1001.583,12028,1002.333,Player 2549,Player 2558,0.69231,0.38053,0.73415,0.30771,ACCEPTED,PASS
Home,PASS,,1,12045,1003.75,12062,1005.167,Player 2558,Player 2560,0.74914,0.3275,0.75477,0.56363,ACCEPTED,PASS
Home,PASS,,1,12160,1013.333,12168,1014.0,Player 2566,Player 2590,0.60829,0.79328,0.63098,0.82944,ACCEPTED,PASS
Home,PASS,,1,12178,1014.833,12184,1015.333,Player 2590,Player 2571,0.61778,0.79344,0.6048,0.73215,ACCEPTED,PASS
Home,PASS,,1,12239,1019.917,12248,1020.667,Player 2571,Player 2590,0.57389,0.61774,0.56521,0.7176,ACCEPTED,PASS
Home,BALL LOST,,1,12266,1022.167,12277,1023.083,Player 2590,,0.52779,0.79844,0.44182,0.93307,REJECTED,BALL LOST
Away,RECOVERY,,1,12277,1023.083,12277,1023.083,Player 2618,,0.44182,0.93307,0.44182,0.93307,REJECTED,RECOVERY
Away,PASS,,1,12292,1024.333,12293,1024.417,Player 2618,Player 2617,0.40949,0.96626,0.39474,0.92684,REJECTED,PASS
Away,PASS,,1,12294,1024.5,12314,1026.167,Player 2617,Player 2623,0.38,0.88742,0.19529,0.54581,REJECTED,PASS
Away,BALL LOST,,1,12315,1026.25,12401,1033.417,Player 2623,,0.19995,0.55219,0.28068,0.26291,REJECTED,BALL LOST
Home,RECOVERY,,1,12401,1033.417,12401,1033.417,Player 2648,,0.28068,0.26291,0.28068,0.26291,REJECTED,RECOVERY
Home,PASS,,1,12450,1037.5,12497,1041.417,Player 2648,Player 2653,0.24513,0.14306,0.38914,0.24774,ACCEPTED,PASS
Home,PASS,,1,12498,1041.5,12505,1042.083,Player 2653,Player 2612,0.38871,0.26718,0.40008,0.33259,ACCEPTED,PASS
Home,PASS,,1,12551,1045.917,12590,1049.167,Player 2612,Player 2675,0.36929,0.4555,0.295,0.46985,REJECTED,PASS
Home,BALL LOST,,1,12591,1049.25,12593,1049.417,Player 2675,,0.31191,0.46711,0.32933,0.46186,REJECTED,BALL LOST
Away,RECOVERY,,1,12593,1049.417,12593,1049.417,Player 2681,,0.32933,0.46186,0.32933,0.46186,ACCEPTED,RECOVERY
Away,PASS,,1,12656,1054.667,12669,1055.75,Player 2681,Player 2676,0.66183,0.40603,0.75046,0.27804,ACCEPTED,PASS
Home,PASS,,1,12694,1057.833,12698,1058.167,Player 2686,Player 2640,0.8833,0.28902,0.86198,0.46134,REJECTED,PASS
Home,BALL LOST,,1,12703,1058.583,12704,1058.667,Player 2640,,0.86414,0.50328,0.86313,0.50231,REJECTED,BALL LOST
Away,RECOVERY,,1,12704,1058.667,12704,1058.667,Player 2681,,0.86313,0.50231,0.86313,0.50231,REJECTED,RECOVERY
Away,BALL LOST,,1,12711,1059.25,12721,1060.083,Player 2681,,0.88102,0.50174,0.91382,0.50198,REJECTED,BALL LOST
Home,RECOVERY,,1,12721,1060.083,12721,1060.083,Player 2640,,0.91382,0.50198,0.91382,0.50198,REJECTED,RECOVERY
Home,PASS,,1,12731,1060.917,12744,1062.0,Player 2640,Player 2707,0.9274,0.50175,0.91689,0.45729,REJECTED,PASS
Home,PASS,,1,12774,1064.5,12820,1068.333,Player 2677,Player 2724,0.96353,0.4563,0.59935,0.85497,REJECTED,PASS
Home,PASS,,1,12831,1069.25,12837,1069.75,Player 2724,Player 2751,0.5941,0.84868,0.61889,0.83882,ACCEPTED,PASS
Home,PASS,,1,12863,1071.917,12885,1073.75,Player 2751,Player 2745,0.60459,0.75956,0.57929,0.47849,ACCEPTED,PASS
Home,PASS,,1,12929,1077.417,12945,1078.75,Player 2745,Player 2775,0.3993,0.30754,0.30658,0.17535,ACCEPTED,PASS
Home,BALL LOST,INTERCEPTION,1,12975,1081.25,12992,1082.667,Player 2775,,0.22685,0.15179,0.22921,0.14357,ACCEPTED,BALL LOST
Away,RECOVERY,INTERCEPTION,1,12992,1082.667,12992,1082.667,Player 2786,,0.22921,0.14357,0.22921,0.14357,ACCEPTED,RECOVERY
Away,PASS,,1,13038,1086.5,13057,1088.083,Player 2786,Player 2825,0.36576,0.27493,0.40748,0.36922,ACCEPTED,PASS
Away,PASS,,1,13089,1090.75,13104,1092.0,Player 2816,Player 2821,0.41937,0.48209,0.46271,0.73391,ACCEPTED,PASS
Away,PASS,,1,13174,1097.833,13188,1099.0,Player 2860,Player 2866,0.52146,0.82548,0.4847,0.71022,ACCEPTED,PASS
Away,PASS,,1,13234,1102.833,13257,1104.75,Player 2859,Player 2868,0.51,0.51237,0.53869,0.22135,ACCEPTED,PASS
Away,PASS,,1,13292,1107.667,13298,1108.167,Player 2868,Player 2859,0.57855,0.2106,0.59672,0.28118,ACCEPTED,PASS
Away,PASS,,1,13300,1108.333,13308,1109.0,Player 2859,Player 2868,0.59342,0.28623,0.55313,0.27682,ACCEPTED,PASS
Away,PASS,,1,13324,1110.333,13334,1111.167,Player 2891,Player 2893,0.53287,0.32412,0.51463,0.44909,ACCEPTED,PASS
Away,PASS,,1,13364,1113.667,13382,1115.167,Player 2893,Player 2917,0.53208,0.5929,0.65516,0.90536,ACCEPTED,PASS
Away,PASS,,1,13408,1117.333,13421,1118.417,Player 2917,Player 2924,0.69707,0.93071,0.78142,0.7816,ACCEPTED,PASS
Away,PASS,,1,13433,1119.417,13437,1119.75,Player 2924,Player 2926,0.80669,0.73001,0.78487,0.70733,ACCEPTED,PASS
Home,PASS,,1,13463,1121.917,13521,1126.75,Player 2928,Player 2951,0.79297,0.5938,0.84353,0.45069,REJECTED,PASS
Home,BALL LOST,,1,13525,1127.083,13530,1127.5,Player 2951,,0.84744,0.46039,0.83934,0.53715,REJECTED,BALL LOST
Away,RECOVERY,,1,13530,1127.5,13530,1127.5,Player 2961,,0.83934,0.53715,0.83934,0.53715,REJECTED,RECOVERY
Away,BALL LOST,,1,13541,1128.417,13542,1128.5,Player 2961,,0.87312,0.51979,0.87231,0.52121,REJECTED,BALL LOST
Home,RECOVERY,,1,13542,1128.5,13542,1128.5,Player 2914,,0.87231,0.52121,0.87231,0.52121,REJECTED,RECOVERY
Home,BALL LOST,,1,13544,1128.667,13544,1128.667,Player 2914,,0.87129,0.52231,0.87129,0.52231,REJECTED,BALL LOST
Home,SET PIECE,,1,13652,1137.667,13652,1137.667,Player 2989,,0.93164,0.46637,0.93164,0.46637,REJECTED,SET PIECE
Home,PASS,,1,13890,1157.5,13898,1158.167,Player 3028,Player 3032,0.50926,0.90014,0.46266,0.96074,REJECTED,PASS
Home,PASS,,1,13903,1158.583,13913,1159.417,Player 3032,Player 3041,0.45481,0.95622,0.50298,0.82,REJECTED,PASS
Home,PASS,,1,13921,1160.083,13941,1161.75,Player 3041,Player 3049,0.52605,0.70229,0.4865,0.28438,ACCEPTED,PASS
Home,PASS,,1,13986,1165.5,13994,1166.167,Player 3049,Player 3067,0.3767,0.08824,0.34854,0.03662,ACCEPTED,PASS
Home,PASS,,1,13997,1166.417,14003,1166.917,Player 3067,Player 3049,0.3491,0.05619,0.37067,0.07781,ACCEPTED,PASS
Home,PASS,,1,14018,1168.167,14022,1168.5,Player 3074,Player 3069,0.39348,0.12099,0.41283,0.14913,ACCEPTED,PASS
Home,PASS,,1,14047,1170.583,14058,1171.5,Player 3069,Player 3075,0.42703,0.21975,0.40617,0.2609,ACCEPTED,PASS
Home,PASS,,1,14155,1179.583,14164,1180.333,Player 3069,Player 3034,0.40425,0.34203,0.3915,0.2356,ACCEPTED,PASS
Home,PASS,,1,14185,1182.083,14190,1182.5,Player 3034,Player 3102,0.37117,0.15769,0.34947,0.11926,ACCEPTED,PASS
Home,PASS,,1,14196,1183.0,14201,1183.417,Player 3102,Player 3106,0.35027,0.10547,0.37158,0.11357,ACCEPTED,PASS
Home,PASS,,1,14222,1185.167,14244,1187.0,Player 3106,Player 3130,0.38947,0.14777,0.45269,0.25552,ACCEPTED,PASS
Home,PASS,,1,14252,1187.667,14258,1188.167,Player 3130,Player 3112,0.449,0.278,0.42711,0.31426,ACCEPTED,PASS
Home,PASS,,1,14291,1190.917,14315,1192.917,Player 3112,Player 3132,0.43033,0.27315,0.30847,0.09142,ACCEPTED,PASS
Home,PASS,,1,14362,1196.833,14367,1197.25,Player 3148,Player 3160,0.40912,0.13888,0.4452,0.18085,ACCEPTED,PASS
Home,PASS,,1,14405,1200.417,14415,1201.25,Player 3160,Player 3148,0.50419,0.21957,0.4952,0.15522,ACCEPTED,PASS
Home,PASS,LONG BALL,1,14451,1204.25,14486,1207.167,Player 3148,Player 3186,0.52973,0.10467,0.78865,0.38609,ACCEPTED,PASS
Home,PASS,,1,14681,1223.417,14778,1231.5,Player 3186,Player 3206,0.9173,0.64906,0.5882,0.07225,REJECTED,PASS
Home,PASS,,1,14784,1232.0,14794,1232.833,Player 3216,Player 3213,0.60506,0.10091,0.62931,0.18346,ACCEPTED,PASS
Home,BALL LOST,,1,14878,1239.833,14879,1239.917,Player 3247,,0.61976,0.26429,0.61229,0.24212,REJECTED,BALL LOST
Away,RECOVERY,,1,14879,1239.917,14879,1239.917,Player 3226,,0.61229,0.24212,0.61229,0.24212,REJECTED,RECOVERY
