Team,Type,Subtype,Period,Start Frame,Start Time [s],End Frame,End Time [s],From,To,Start X,Start Y,End X,End Y,Verdict,Original Type
Home,SET PIECE,,1,1,0.042,1,0.042,Player 3,,0.68709,1.07973,0.68709,1.07973,REJECTED,SET PIECE
Home,BALL LOST,,1,12,0.5,12,0.5,Player 3,,0.68689,1.08075,0.68649,1.08154,REJECTED,BALL LOST
Home,SET PIECE,,1,38,1.583,38,1.583,Player 3,,0.68649,1.08154,0.68649,1.08154,REJECTED,SET PIECE
Home,PASS,,1,91,3.792,236,9.833,Player 3,Player 28,0.1036,0.16468,0.03071,0.07557,REJECTED,PASS
Home,SET PIECE,,1,298,12.417,441,18.375,Player 28,,0.04104,0.08222,0.38485,0.67205,RELABELED,BALL LOST
Away,DUEL,,1,441,18.375,441,18.375,Player 32,,0.38485,0.67205,0.38485,0.67205,RELABELED,RECOVERY
Away,PASS,,1,446,18.583,484,20.167,Player 32,Player 14,0.4185,0.66169,0.2978,0.37229,ACCEPTED,PASS
Away,BALL LOST,,1,490,20.417,491,20.458,Player 14,,0.29379,0.34426,0.29333,0.34094,REJECTED,BALL LOST
Home,RECOVERY,,1,491,20.458,491,20.458,Player 15,,0.29333,0.34094,0.29333,0.34094,REJECTED,RECOVERY
Away,BALL LOST,OUT,1,556,23.167,556,23.167,Player 20,,0.56826,0.6807,0.79618,1.05738,ACCEPTED,BALL LOST
Away,SET PIECE,,1,572,23.833,572,23.833,Player 17,,0.6255,0.76212,0.6255,0.76212,REJECTED,SET PIECE
Away,BALL LOST,,1,574,23.917,644,26.833,Player 17,Player 12,0.6147,0.7466,0.53498,0.74134,RELABELED,PASS
Away,PASS,,1,647,26.958,666,27.75,Player 12,Player 16,0.53231,0.73148,0.33517,0.34944,REJECTED,PASS
Away,BALL LOST,,1,671,27.958,672,28.0,Player 16,,0.33555,0.34248,0.33504,0.34218,REJECTED,BALL LOST
Home,RECOVERY,,1,672,28.0,672,28.0,Player 30,,0.33504,0.34218,0.33504,0.34218,REJECTED,RECOVERY
Home,BALL LOST,,1,681,28.375,686,28.583,Player 30,,0.31815,0.09738,0.4136,0.51324,REJECTED,BALL LOST
Away,RECOVERY,,1,686,28.583,686,28.583,Player 11,,0.4136,0.51324,0.4136,0.51324,REJECTED,RECOVERY
Away,BALL LOST,,1,693,28.875,693,28.875,Player 11,,0.3974,0.47754,0.27398,-0.01364,REJECTED,BALL LOST
Home,SET PIECE,,1,697,29.042,697,29.042,Player 30,,0.27398,-0.01364,0.27398,-0.01364,REJECTED,SET PIECE
Home,PASS,,1,744,31.0,760,31.667,Player 30,,0.36019,0.30967,0.19481,0.35322,RELABELED,CHALLENGE
Away,CHALLENGE,,1,744,31.0,760,31.667,Player 14,,0.36019,0.30967,0.19481,0.35322,REJECTED,CHALLENGE
Away,PASS,,1,779,32.458,780,32.5,Player 17,,0.24385,0.33154,0.246,0.33144,RELABELED,BALL LOST
Home,RECOVERY,,1,780,32.5,780,32.5,Player 2,,0.246,0.33144,0.246,0.33144,REJECTED,RECOVERY
Home,BALL LOST,,1,803,33.458,803,33.458,Player 2,,0.27411,0.34462,-0.02114,0.2533,REJECTED,BALL LOST
Home,PASS,,1,847,35.292,847,35.292,Player 3,,0.07169,0.28594,0.07169,0.28594,RELABELED,SET PIECE
Home,PASS,,1,853,35.542,858,35.75,Player 7,Player 30,0.1258,0.30818,0.18869,0.33641,ACCEPTED,PASS
Home,PASS,,1,860,35.833,866,36.083,Player 30,Player 7,0.17421,0.32984,0.13077,0.31015,ACCEPTED,PASS
Home,PASS,,1,942,39.25,943,39.292,Player 3,,0.29961,0.69841,0.30228,0.69596,RELABELED,BALL LOST
Away,RECOVERY,,1,943,39.292,943,39.292,Player 12,,0.30228,0.69596,0.30228,0.69596,ACCEPTED,RECOVERY
Away,PASS,,1,955,39.792,962,40.083,Player 12,Player 1,0.31078,0.64824,0.60776,0.87367,REJECTED,PASS
Away,BALL LOST,,1,966,40.25,976,40.667,Player 1,,0.63702,0.92487,0.45663,0.79067,REJECTED,BALL LOST
Home,RECOVERY,,1,976,40.667,976,40.667,Player 46,,0.45663,0.79067,0.45663,0.79067,REJECTED,RECOVERY
Away,DUEL,,1,998,41.583,1006,41.917,Player 11,,0.68408,0.74326,0.30953,0.53594,RELABELED,BALL LOST
Home,RECOVERY,INTERCEPTION,1,1006,41.917,1006,41.917,Player 4,,0.30953,0.53594,0.30953,0.53594,ACCEPTED,RECOVERY
Home,BALL LOST,,1,1023,42.625,1028,42.833,Player 4,,0.31511,0.52279,0.30378,0.4503,REJECTED,BALL LOST
Away,RECOVERY,,1,1028,42.833,1028,42.833,Player 5,,0.30378,0.4503,0.30378,0.4503,REJECTED,RECOVERY
Away,PASS,,1,1052,43.833,1058,44.083,Player 5,,0.30386,0.46901,0.30567,0.5648,RELABELED,BALL LOST
Home,RECOVERY,,1,1058,44.083,1058,44.083,Player 4,,0.30567,0.5648,0.30567,0.5648,REJECTED,RECOVERY
Home,PASS,,1,1065,44.375,1067,44.458,Player 4,Player 46,0.30523,0.57509,0.3035,0.45614,ACCEPTED,PASS
Home,PASS,,1,1071,44.625,1073,44.708,Player 46,Player 4,0.30344,0.45596,0.30344,0.58268,ACCEPTED,PASS
Home,PASS,,1,1087,45.292,1102,45.917,Player 4,Player 28,0.30025,0.58335,0.46681,0.8157,ACCEPTED,PASS
Home,PASS,,1,1145,47.708,1204,50.167,Player 4,,0.35002,0.73123,0.1194,0.50538,RELABELED,BALL LOST
Away,PASS,,1,1204,50.167,1204,50.167,Player 64,,0.1194,0.50538,0.1194,0.50538,RELABELED,RECOVERY
Away,BALL LOST,,1,1266,52.75,1267,52.792,Player 64,,0.13044,0.49872,0.1303,0.48721,REJECTED,BALL LOST
