Team,Type,Subtype,Period,Start Frame,Start Time [s],End Frame,End Time [s],From,To,Start X,Start Y,End X,End Y,Verdict,Original Type
Away,PASS,,1,23424,1561.6,23444,1562.933,Player 2105,Player 2234,0.69041,0.80989,0.53069,0.89424,REJECTED,PASS
Away,PASS,,1,23447,1563.133,23451,1563.4,Player 2234,Player 2103,0.51982,0.89431,0.51719,0.85578,REJECTED,PASS
Away,PASS,MANUAL,1,23448,1564.763,23448,1564.763,,,,,,,ADDED,
Away,PASS,,1,23464,1564.267,23479,1565.267,Player 2206,Player 2066,0.51169,0.77763,0.50425,0.66613,REJECTED,PASS
Home,PASS,,1,23498,1566.533,23500,1566.667,Player 2194,Player 2162,0.37553,0.63831,0.34315,0.60303,REJECTED,PASS
Home,BALL LOST,,1,23502,1566.8,23508,1567.2,Player 2162,,0.29855,0.59098,0.16474,0.55481,REJECTED,BALL LOST
Away,RECOVERY,,1,23508,1567.2,23508,1567.2,Player 2176,,0.16474,0.55481,0.16474,0.55481,REJECTED,RECOVERY
Away,BALL LOST,,1,23516,1567.733,23591,1572.733,Player 2176,,0.14702,0.52777,0.12337,0.42708,REJECTED,BALL LOST
Home,RECOVERY,,1,23591,1572.733,23591,1572.733,Player 1946,,0.12337,0.42708,0.12337,0.42708,REJECTED,RECOVERY
Home,PASS,,1,23886,1592.4,23949,1596.6,Player 1946,Player 2194,0.09603,0.53467,0.11695,0.32889,REJECTED,PASS
Home,PASS,,1,23957,1597.133,24035,1602.333,Player 2194,Player 2251,0.1345,0.35744,0.24046,0.57091,REJECTED,PASS
Home,PASS,MANUAL,1,24021,1603.001,24021,1603.001,,,,,,,ADDED,
Home,BALL LOST,,1,24037,1602.467,24245,1616.333,Player 2251,,0.24781,0.60337,0.17436,0.56223,REJECTED,BALL LOST
Away,RECOVERY,,1,24245,1616.333,24245,1616.333,Player 2269,,0.17436,0.56223,0.17436,0.56223,REJECTED,RECOVERY
Away,PASS,,1,24282,1618.8,24322,1621.467,Player 2269,Player 1904,0.17474,0.53627,0.60907,0.28594,REJECTED,PASS
Away,PASS,,1,24335,1622.333,24335,1622.333,Player 1904,,0.56103,0.24367,0.18887,-0.00499,RELABELED,BALL LOST
Away,SET PIECE,,1,24422,1628.133,24422,1628.133,Player 2296,,0.23912,0.15417,0.23912,0.15417,REJECTED,SET PIECE
Home,PASS,,1,24460,1630.667,24466,1631.067,Player 2251,Player 1938,0.16735,0.45471,0.19815,0.5796,REJECTED,PASS
Home,PASS,,1,24469,1631.267,24474,1631.6,Player 1938,Player 2251,0.2028,0.5872,0.17087,0.49312,REJECTED,PASS
Home,PASS,,1,24475,1631.667,24476,1631.733,Player 2251,Player 2194,0.15233,0.46785,0.13378,0.44259,REJECTED,PASS
Home,BALL LOST,,1,24477,1631.8,24623,1641.533,Player 2194,,0.11524,0.41732,0.18708,0.48237,REJECTED,BALL LOST
Away,RECOVERY,,1,24623,1641.533,24623,1641.533,Player 2269,,0.18708,0.48237,0.18708,0.48237,REJECTED,RECOVERY
Home,BALL LOST,,1,24698,1646.533,24706,1647.067,Player 2254,,0.23806,0.38034,0.15308,0.31397,REJECTED,BALL LOST
Away,RECOVERY,,1,24706,1647.067,24706,1647.067,Player 2269,,0.15308,0.31397,0.15308,0.31397,REJECTED,RECOVERY
Away,PASS,MANUAL,1,24711,1649.047,24711,1649.047,,,,,,,ADDED,
Away,PASS,,1,24712,1647.467,24752,1650.133,Player 2269,Player 2315,0.15333,0.31514,0.17309,0.33227,REJECTED,PASS
Away,PASS,,1,24753,1650.2,24756,1650.4,Player 2315,Player 2252,0.19151,0.3422,0.24677,0.37201,REJECTED,PASS
Away,BALL LOST,,1,24757,1650.467,24758,1650.533,Player 2252,,0.25015,0.37532,0.25354,0.37863,REJECTED,BALL LOST
Home,RECOVERY,,1,24758,1650.533,24758,1650.533,Player 2300,,0.25354,0.37863,0.25354,0.37863,REJECTED,RECOVERY
Home,BALL LOST,,1,24767,1651.133,24771,1651.4,Player 2295,,0.28291,0.4073,0.30059,0.42454,REJECTED,BALL LOST
Away,RECOVERY,,1,24771,1651.4,24771,1651.4,Player 2105,,0.30059,0.42454,0.30059,0.42454,REJECTED,RECOVERY
Away,PASS,,1,24828,1655.2,24856,1657.067,Player 2107,Player 2103,0.52398,0.63637,0.63181,0.70076,REJECTED,PASS
Away,PASS,MANUAL,1,24846,1658.056,24846,1658.056,,,,,,,ADDED,
Away,PASS,,1,24858,1657.2,24876,1658.4,Player 2103,Player 2288,0.62556,0.72139,0.3075,0.51771,RELABELED,PASS
Away,PASS,,1,24880,1658.667,24909,1660.6,Player 2288,Player 2269,0.30746,0.52027,0.23766,0.62409,REJECTED,PASS
Away,PASS,,1,24968,1664.533,25114,1674.267,Player 2269,Player 2234,0.18747,0.54751,0.15867,0.4854,REJECTED,PASS
Away,SHOT,,1,25119,1674.6,25829,1721.933,Player 2234,,0.1434,0.4821,0.28994,-0.00224,REJECTED,SHOT
Home,SET PIECE,,1,25829,1721.933,25829,1721.933,Player 2194,,0.30272,0.06694,0.30272,0.06694,REJECTED,SET PIECE
Home,PASS,,1,25830,1722.0,25846,1723.067,Player 2194,Player 2265,0.30912,0.10153,0.33868,0.36353,REJECTED,PASS
Home,BALL LOST,,1,25909,1727.267,26009,1733.933,Player 2265,,0.1201,0.62781,0.1185,0.40772,REJECTED,BALL LOST
Away,RECOVERY,,1,26009,1733.933,26009,1733.933,Player 2269,,0.1185,0.40772,0.1185,0.40772,REJECTED,RECOVERY
Away,PASS,,1,26025,1735.0,26164,1744.267,Player 2269,Player 2396,0.14047,0.42692,0.13055,0.48325,REJECTED,PASS
Away,BALL LOST,,1,26265,1751.0,26271,1751.4,Player 2396,,0.19566,0.5932,0.22381,0.64795,REJECTED,BALL LOST
Home,RECOVERY,,1,26271,1751.4,26271,1751.4,Player 2265,,0.22381,0.64795,0.22381,0.64795,REJECTED,RECOVERY
Home,PASS,,1,26301,1753.4,26324,1754.933,Player 2265,Player 2353,0.28208,0.68174,0.25774,0.37729,ACCEPTED,PASS
Home,BALL LOST,,1,26325,1755.0,26334,1755.6,Player 2353,,0.25831,0.3749,0.20038,0.5467,REJECTED,BALL LOST
Away,RECOVERY,,1,26334,1755.6,26334,1755.6,Player 2396,,0.20038,0.5467,0.20038,0.5467,REJECTED,RECOVERY
Away,PASS,,1,26506,1767.067,26509,1767.267,Player 2396,,0.2131,0.64135,0.24856,0.72387,RELABELED,BALL LOST
Home,PASS,,1,26509,1767.267,26509,1767.267,Player 2265,,0.24856,0.72387,0.24856,0.72387,RELABELED,RECOVERY
Home,PASS,,1,26522,1768.133,26852,1790.133,Player 2265,Player 1691,0.22304,0.65105,0.15758,0.34089,REJECTED,PASS
Home,PASS,,1,26875,1791.667,26891,1792.733,Player 1691,Player 2426,0.16176,0.34137,0.1914,0.30469,REJECTED,PASS
Home,PASS,,1,26905,1793.667,27012,1800.8,Player 2265,Player 1691,0.15888,0.33871,0.56915,0.75335,RELABELED,PASS
Home,PASS,,1,27047,1803.133,27055,1803.667,Player 1691,Player 2295,0.64245,0.80681,0.67822,0.9002,ACCEPTED,PASS
Home,BALL LOST,,1,27093,1806.2,27093,1806.2,Player 1691,,0.70116,0.99384,0.71341,1.03781,REJECTED,BALL LOST
Home,SET PIECE,,1,27095,1806.333,27095,1806.333,Player 2295,,0.71341,1.03781,0.71341,1.03781,REJECTED,SET PIECE
Home,PASS,,1,27110,1807.333,27123,1808.2,Player 2295,Player 2382,0.69496,0.96481,0.72381,0.79456,ACCEPTED,PASS
Away,PASS,,1,27130,1808.667,27177,1811.8,Player 2341,Player 2419,0.78626,0.68271,0.82366,0.67457,REJECTED,PASS
Away,PASS,MANUAL,1,27202,1815.28,27202,1815.28,,,,,,,ADDED,
Away,PASS,MANUAL,1,27202,1815.28,27202,1815.28,,,,,,,ADDED,
Home,BALL LOST,,1,27208,1813.867,27231,1815.4,Player 1691,,0.71667,0.74569,0.64695,0.86237,REJECTED,BALL LOST
Away,RECOVERY,,1,27231,1815.4,27231,1815.4,Player 2105,,0.64695,0.86237,0.64695,0.86237,REJECTED,RECOVERY
Away,BALL LOST,,1,27270,1818.0,27271,1818.067,Player 2105,,0.5,0.72491,0.5,0.72754,REJECTED,BALL LOST
Home,RECOVERY,,1,27271,1818.067,27271,1818.067,Player 2265,,0.5,0.72754,0.5,0.72754,REJECTED,RECOVERY
Home,PASS,,1,27275,1818.333,27283,1818.867,Player 2265,Player 2458,0.5,0.73686,0.55439,0.4524,REJECTED,PASS
Home,PASS,,1,27285,1819.0,27289,1819.267,Player 2458,Player 2382,0.56604,0.42999,0.58543,0.48258,REJECTED,PASS
Home,PASS,,1,27294,1819.6,27302,1820.133,Player 2382,Player 2433,0.59383,0.54687,0.55146,0.75316,REJECTED,PASS
Home,PASS,,1,27304,1820.267,27316,1821.067,Player 2433,Player 2382,0.55858,0.77405,0.70751,0.71531,REJECTED,PASS
Home,PASS,,1,27330,1822.0,27331,1822.067,Player 2433,Player 2295,0.43822,0.76217,0.41655,0.76615,REJECTED,PASS
Home,PASS,,1,27333,1822.2,27340,1822.667,Player 2295,Player 2474,0.3714,0.77856,0.28108,0.80866,REJECTED,PASS
Home,PASS,,1,27341,1822.733,27348,1823.2,Player 2474,Player 2265,0.27495,0.7981,0.26216,0.76697,ACCEPTED,PASS
Home,PASS,,1,27362,1824.133,27368,1824.533,Player 2265,Player 2433,0.27608,0.7213,0.31534,0.69204,ACCEPTED,PASS
Home,PASS,,1,27370,1824.667,27374,1824.933,Player 2433,Player 2353,0.32061,0.68619,0.23799,0.60639,REJECTED,PASS
Home,PASS,,1,27422,1828.133,27424,1828.267,Player 2353,Player 2433,0.27226,0.63302,0.31665,0.66438,REJECTED,PASS
Home,PASS,MANUAL,1,27439,1831.096,27439,1831.096,,,,,,,ADDED,
Home,PASS,,1,27441,1829.4,27484,1832.267,Player 2433,Player 2483,0.29536,0.59722,0.42971,0.43993,REJECTED,PASS
Home,PASS,MANUAL,1,27447,1831.63,27447,1831.63,,,,,,,ADDED,
Home,PASS,,1,27485,1832.333,27493,1832.867,Player 2483,Player 2265,0.42952,0.43967,0.4846,0.64107,REJECTED,PASS
