Team,Type,Subtype,Period,Start Frame,Start Time [s],End Frame,End Time [s],From,To,Start X,Start Y,End X,End Y,Verdict,Original Type
Home,PASS,,1,23424,1561.6,23444,1562.933,Player 2105,Player 2234,0.69041,0.80989,0.53069,0.89424,ACCEPTED,PASS
Home,PASS,MANUAL,1,23448,1564.763,23448,1564.763,,,,,,,ADDED,
Home,PASS,,1,23456,1563.733,23479,1565.267,Player 2103,Player 2066,0.49008,0.80265,0.49391,0.67834,ACCEPTED,PASS
Away,BALL LOST,,1,23498,1566.533,23500,1566.667,Player 2194,Player 2251,0.37553,0.63831,0.37292,0.59009,RELABELED,PASS
Away,PASS,,1,23502,1566.8,23506,1567.067,Player 2251,Player 2138,0.38787,0.55215,0.41775,0.47627,REJECTED,PASS
Away,PASS,,1,23514,1567.6,23593,1572.867,Player 2138,Player 1946,0.44772,0.47312,0.12398,0.41991,REJECTED,PASS
Away,BALL LOST,,1,23608,1573.867,23608,1573.867,Player 1946,,0.11101,0.37637,-0.0007,0.42129,REJECTED,BALL LOST
Home,SET PIECE,,1,24244,1616.267,24244,1616.267,Player 2269,,0.17446,0.55866,0.17446,0.55866,REJECTED,SET PIECE
Home,BALL LOST,,1,24283,1618.867,24283,1618.867,Player 2269,,0.17307,0.53231,0.12121,-0.00463,REJECTED,BALL LOST
Home,SET PIECE,,1,24685,1645.667,24685,1645.667,Player 2269,,0.15385,0.29143,0.15385,0.29143,REJECTED,SET PIECE
Home,PASS,,1,24698,1646.533,24721,1648.067,Player 2269,Player 2313,0.16422,0.33037,0.23439,0.36357,REJECTED,PASS
Home,PASS,,1,24729,1648.6,24757,1650.467,Player 2312,Player 2315,0.21505,0.34978,0.19158,0.30696,REJECTED,PASS
Home,PASS,MANUAL,1,24739,1650.916,24739,1650.916,,,,,,,ADDED,
Home,BALL LOST,,1,24758,1650.533,24762,1650.8,Player 2315,,0.20473,0.32166,0.25732,0.38046,REJECTED,BALL LOST
Away,RECOVERY,,1,24762,1650.8,24762,1650.8,Player 2300,,0.25732,0.38046,0.25732,0.38046,REJECTED,RECOVERY
Away,BALL LOST,,1,24767,1651.133,24771,1651.4,Player 2295,,0.28291,0.4073,0.30059,0.42454,REJECTED,BALL LOST
Home,RECOVERY,,1,24771,1651.4,24771,1651.4,Player 2105,,0.30059,0.42454,0.30059,0.42454,REJECTED,RECOVERY
Home,PASS,,1,24828,1655.2,24856,1657.067,Player 2107,Player 2103,0.51037,0.62363,0.63192,0.7,REJECTED,PASS
Home,PASS,MANUAL,1,24846,1658.056,24846,1658.056,,,,,,,ADDED,
Home,PASS,,1,24858,1657.2,24876,1658.4,Player 2103,Player 2288,0.62556,0.72139,0.3075,0.51743,REJECTED,PASS
Home,PASS,,1,24880,1658.667,24909,1660.6,Player 2288,Player 2269,0.30746,0.52027,0.23766,0.62409,REJECTED,PASS
Home,PASS,MANUAL,1,24881,1660.392,24881,1660.392,,,,,,,ADDED,
Home,BALL LOST,,1,24968,1664.533,24968,1664.533,Player 2269,,0.18747,0.54751,0.43062,-0.05509,REJECTED,BALL LOST
Away,SET PIECE,,1,25816,1721.067,25816,1721.067,Player 2194,,0.27299,0.0641,0.27299,0.0641,REJECTED,SET PIECE
Away,BALL LOST,,1,25818,1721.2,25818,1721.2,Player 2194,,0.2749,0.06439,0.28994,-0.00224,REJECTED,BALL LOST
Away,SET PIECE,,1,25829,1721.933,25829,1721.933,Player 2194,,0.30272,0.06694,0.30272,0.06694,REJECTED,SET PIECE
Away,PASS,,1,25927,1728.467,25928,1728.533,Player 2382,Player 2366,0.27873,0.54487,0.2639,0.51459,REJECTED,PASS
Away,BALL LOST,,1,25930,1728.667,26162,1744.133,Player 2366,,0.23425,0.45401,0.12837,0.47644,REJECTED,BALL LOST
Home,RECOVERY,,1,26162,1744.133,26162,1744.133,Player 2396,,0.12837,0.47644,0.12837,0.47644,REJECTED,RECOVERY
Home,BALL LOST,,1,26276,1751.733,26279,1751.933,Player 2396,,0.19159,0.58453,0.23278,0.65894,REJECTED,BALL LOST
Away,RECOVERY,,1,26279,1751.933,26279,1751.933,Player 2265,,0.23278,0.65894,0.23278,0.65894,REJECTED,RECOVERY
Away,PASS,,1,26303,1753.533,26324,1754.933,Player 2265,Player 2353,0.2851,0.67203,0.25669,0.37334,ACCEPTED,PASS
Away,BALL LOST,,1,26328,1755.2,26334,1755.6,Player 2353,,0.25356,0.37395,0.20246,0.53838,REJECTED,BALL LOST
Home,RECOVERY,,1,26334,1755.6,26334,1755.6,Player 2396,,0.20246,0.53838,0.20246,0.53838,REJECTED,RECOVERY
Home,PASS,,1,26499,1766.6,26782,1785.467,Player 2396,Player 2315,0.20395,0.61333,0.13522,0.48379,REJECTED,PASS
Home,BALL LOST,,1,26792,1786.133,26852,1790.133,Player 2315,,0.14354,0.49689,0.15758,0.34089,REJECTED,BALL LOST
Away,RECOVERY,,1,26852,1790.133,26852,1790.133,Player 1691,,0.15758,0.34089,0.15758,0.34089,REJECTED,RECOVERY
Away,PASS,,1,26876,1791.733,26900,1793.333,Player 2424,Player 2265,0.19562,0.32426,0.16088,0.34006,RELABELED,PASS
Away,PASS,,1,26905,1793.667,27012,1800.8,Player 2265,Player 1691,0.15888,0.33871,0.56915,0.75335,REJECTED,PASS
Home,BALL LOST,,1,27028,1801.867,27042,1802.8,Player 2288,,0.61962,0.7184,0.82589,0.41374,REJECTED,BALL LOST
2.0,RECOVERY,,1,27042,1802.8,27042,1802.8,Player 2425,,0.82589,0.41374,0.82589,0.41374,REJECTED,RECOVERY
2.0,BALL LOST,,1,27050,1803.333,27124,1808.267,Player 2425,,0.82295,0.41127,0.72837,0.78269,REJECTED,BALL LOST
Away,RECOVERY,,1,27124,1808.267,27124,1808.267,Player 2382,,0.72837,0.78269,0.72837,0.78269,REJECTED,RECOVERY
Home,PASS,,1,27178,1811.867,27180,1812.0,Player 2391,Player 2296,0.8883,0.51159,0.86125,0.5677,REJECTED,PASS
Home,PASS,,1,27181,1812.067,27184,1812.267,Player 2296,Player 2419,0.84773,0.59575,0.80716,0.67992,REJECTED,PASS
Home,PASS,MANUAL,1,27202,1815.28,27202,1815.28,,,,,,,ADDED,
Away,PASS,,1,27208,1813.867,27226,1815.067,Player 1691,Player 2433,0.71667,0.74569,0.6756,0.7716,REJECTED,PASS
Away,BALL LOST,,1,27230,1815.333,27232,1815.467,Player 2433,,0.68106,0.76098,0.65887,0.82878,REJECTED,BALL LOST
