Team,Type,Subtype,Period,Start Frame,Start Time [s],End Frame,End Time [s],From,To,Start X,Start Y,End X,End Y,Verdict,Original Type
Away,SET PIECE,,1,126,8.4,126,8.4,Player 20,,0.18176,0.60296,0.18176,0.60296,REJECTED,SET PIECE
Away,PASS,,1,179,11.933,229,15.267,Player 21,Player 13,0.20108,0.35974,0.59706,0.88014,REJECTED,PASS
Away,PASS,,1,233,15.533,319,21.267,Player 13,Player 84,0.56848,0.76376,0.20319,0.51941,REJECTED,PASS
Away,PASS,,1,320,21.333,324,21.6,Player 84,Player 22,0.20764,0.4858,0.22545,0.35137,REJECTED,PASS
Away,CHALLENGE,,1,327,21.8,358,23.867,Player 22,,0.22531,0.35141,0.22144,0.3479,REJECTED,CHALLENGE
Home,CHALLENGE,,1,327,21.8,358,23.867,Player 8,,0.22531,0.35141,0.22144,0.3479,REJECTED,CHALLENGE
Home,PASS,,1,363,24.2,366,24.4,Player 8,Player 9,0.21758,0.34496,0.23507,0.35766,REJECTED,PASS
Away,PASS,,1,390,26.0,391,26.067,Player 107,Player 12,0.57894,0.28756,0.5647,0.3096,REJECTED,PASS
Away,PASS,,1,392,26.133,397,26.467,Player 12,Player 87,0.55046,0.33165,0.49037,0.41619,REJECTED,PASS
Away,PASS,,1,400,26.667,406,27.067,Player 87,Player 109,0.48029,0.41526,0.45185,0.24471,REJECTED,PASS
Away,PASS,,1,407,27.133,416,27.733,Player 109,Player 15,0.45423,0.24417,0.49382,0.44293,REJECTED,PASS
Away,PASS,,1,565,37.667,577,38.467,Player 13,Player 71,0.5,0.60205,0.5,0.50162,REJECTED,PASS
Home,PASS,,1,604,40.267,631,42.067,Player 11,Player 1,0.5,0.52907,0.79078,0.98511,REJECTED,PASS
Home,BALL LOST,,1,772,51.467,772,51.467,Player 195,,0.65316,0.8848,0.654,1.018,REJECTED,BALL LOST
Away,SET PIECE,,1,790,52.667,790,52.667,Player 196,,0.654,1.018,0.654,1.018,REJECTED,SET PIECE
Away,PASS,,1,804,53.6,818,54.533,Player 196,Player 175,0.66441,0.9939,0.7919,0.49053,REJECTED,PASS
Away,BALL LOST,,1,819,54.6,875,58.333,Player 175,,0.801,0.45458,0.63668,0.84641,REJECTED,BALL LOST
Home,SET PIECE,,1,875,58.333,875,58.333,Player 64,,0.63668,0.84641,0.63668,0.84641,RELABELED,RECOVERY
Home,PASS,,1,886,59.067,887,59.133,Player 47,,0.60373,0.89239,0.60302,0.88876,RELABELED,BALL LOST
Away,RECOVERY,,1,887,59.133,887,59.133,Player 15,,0.60302,0.88876,0.60302,0.88876,REJECTED,RECOVERY
Away,PASS,,1,902,60.133,960,64.0,Player 15,,0.59227,0.83433,0.79882,0.48321,RELABELED,BALL LOST
Home,RECOVERY,,1,960,64.0,960,64.0,Player 14,,0.79882,0.48321,0.79882,0.48321,REJECTED,RECOVERY
Home,PASS,,1,987,65.8,1005,67.0,Player 14,Player 9,0.82691,0.45391,0.37511,0.36544,REJECTED,PASS
Home,PASS,,1,1074,71.6,1087,72.467,Player 9,Player 189,0.3441,0.27634,0.45323,0.26736,ACCEPTED,PASS
Home,PASS,,1,1541,102.733,1541,102.733,Player 270,,0.88162,0.38526,1.25427,0.13291,RELABELED,BALL LOST
Home,SET PIECE,,1,1633,108.867,1633,108.867,Player 120,,0.14268,0.4761,0.14268,0.4761,REJECTED,SET PIECE
Home,PASS,,1,1669,111.267,1685,112.333,Player 120,Player 11,0.1444,0.43839,0.13772,0.30464,ACCEPTED,PASS
Home,PASS,LONG BALL,1,1721,114.733,1773,118.2,Player 11,Player 195,0.21237,0.26689,0.94196,0.65364,ACCEPTED,PASS
Home,BALL LOST,,1,1775,118.333,1799,119.933,Player 195,,0.95577,0.65254,0.86639,0.55373,REJECTED,BALL LOST
Away,RECOVERY,,1,1799,119.933,1799,119.933,Player 259,,0.86639,0.55373,0.86639,0.55373,REJECTED,RECOVERY
Away,PASS,,1,1806,120.4,1812,120.8,Player 259,Player 13,0.84295,0.62636,0.84021,0.78214,REJECTED,PASS
Away,BALL LOST,,1,1813,120.867,1814,120.933,Player 13,,0.83975,0.80811,0.83929,0.83407,REJECTED,BALL LOST
Home,RECOVERY,,1,1814,120.933,1814,120.933,Player 195,,0.83929,0.83407,0.83929,0.83407,REJECTED,RECOVERY
Home,PASS,MANUAL,1,1825,121.788,1825,121.788,,,,,,,ADDED,
Home,PASS,LONG BALL,1,1964,130.933,2008,133.867,Player 310,Player 266,0.71322,0.71637,0.7888,0.09606,ACCEPTED,PASS
Home,PASS,,1,2044,136.267,2044,136.267,Player 266,,0.94194,-0.04496,1.00141,0.09136,RELABELED,BALL LOST
Home,SET PIECE,,1,2062,137.467,2062,137.467,Player 301,,0.96043,0.07671,0.96043,0.07671,REJECTED,SET PIECE
