Team,Type,Subtype,Period,Start Frame,Start Time [s],End Frame,End Time [s],From,To,Start X,Start Y,End X,End Y
Away,SET PIECE,KICK OFF,1,126,8.4,126,8.4,Player 20,,0.18176,0.60296,0.18176,0.60296
Away,PASS,LONG BALL,1,179,11.933,229,15.267,Player 21,Player 13,0.20108,0.35974,0.59706,0.88014
Away,PASS,LONG BALL,1,233,15.533,319,21.267,Player 13,Player 84,0.56848,0.76376,0.20319,0.51941
Away,PASS,,1,320,21.333,324,21.6,Player 84,Player 22,0.20764,0.4858,0.22545,0.35137
Away,CHALLENGE,AERIAL-LOST,1,327,21.8,358,23.867,Player 22,,0.22531,0.35141,0.22144,0.3479
Home,CHALLENGE,AERIAL-WON,1,327,21.8,358,23.867,Player 8,,0.22531,0.35141,0.22144,0.3479
Home,PASS,,1,363,24.2,366,24.4,Player 8,Player 9,0.21758,0.34496,0.23507,0.35766
Away,PASS,,1,390,26.0,391,26.067,Player 107,Player 12,0.57894,0.28756,0.5647,0.3096
Away,PASS,,1,392,26.133,397,26.467,Player 12,Player 87,0.55046,0.33165,0.49037,0.41619
Away,PASS,,1,400,26.667,406,27.067,Player 87,Player 109,0.48029,0.41526,0.45185,0.24471
Away,PASS,,1,407,27.133,416,27.733,Player 109,Player 15,0.45423,0.24417,0.49382,0.44293
Away,PASS,,1,565,37.667,577,38.467,Player 13,Player 71,0.5,0.60205,0.5,0.50162
Home,PASS,LONG BALL,1,604,40.267,631,42.067,Player 11,Player 1,0.5,0.52907,0.79078,0.98511
Home,BALL LOST,OUT,1,772,51.467,772,51.467,Player 195,,0.65316,0.8848,0.654,1.018
Away,SET PIECE,THROW IN,1,790,52.667,790,52.667,Player 196,,0.654,1.018,0.654,1.018
Away,PASS,LONG BALL,1,804,53.6,818,54.533,Player 196,Player 175,0.66441,0.9939,0.7919,0.49053
Away,BALL LOST,INTERCEPTION,1,819,54.6,875,58.333,Player 175,,0.801,0.45458,0.63668,0.84641
Home,RECOVERY,INTERCEPTION,1,875,58.333,875,58.333,Player 64,,0.63668,0.84641,0.63668,0.84641
Home,BALL LOST,,1,886,59.067,887,59.133,Player 47,,0.60373,0.89239,0.60302,0.88876
Away,RECOVERY,,1,887,59.133,887,59.133,Player 15,,0.60302,0.88876,0.60302,0.88876
Away,BALL LOST,INTERCEPTION,1,902,60.133,960,64.0,Player 15,,0.59227,0.83433,0.79882,0.48321
Home,RECOVERY,INTERCEPTION,1,960,64.0,960,64.0,Player 14,,0.79882,0.48321,0.79882,0.48321
Home,PASS,LONG BALL,1,987,65.8,1005,67.0,Player 14,Player 9,0.82691,0.45391,0.37511,0.36544
Home,PASS,,1,1074,71.6,1087,72.467,Player 9,Player 189,0.3441,0.27634,0.45323,0.26736
Home,BALL LOST,OUT,1,1541,102.733,1541,102.733,Player 270,,0.88162,0.38526,1.25427,0.13291
Home,SET PIECE,,1,1633,108.867,1633,108.867,Player 120,,0.14268,0.4761,0.14268,0.4761
Home,PASS,,1,1669,111.267,1685,112.333,Player 120,Player 11,0.1444,0.43839,0.13772,0.30464
Home,PASS,LONG BALL,1,1721,114.733,1773,118.2,Player 11,Player 195,0.21237,0.26689,0.94196,0.65364
Home,BALL LOST,INTERCEPTION,1,1775,118.333,1799,119.933,Player 195,,0.95577,0.65254,0.86639,0.55373
Away,RECOVERY,INTERCEPTION,1,1799,119.933,1799,119.933,Player 259,,0.86639,0.55373,0.86639,0.55373
Away,PASS,,1,1806,120.4,1812,120.8,Player 259,Player 13,0.84295,0.62636,0.84021,0.78214
Away,BALL LOST,,1,1813,120.867,1814,120.933,Player 13,,0.83975,0.80811,0.83929,0.83407
Home,RECOVERY,,1,1814,120.933,1814,120.933,Player 195,,0.83929,0.83407,0.83929,0.83407
Home,PASS,LONG BALL,1,1964,130.933,2008,133.867,Player 310,Player 266,0.71322,0.71637,0.7888,0.09606
Home,BALL LOST,OUT,1,2044,136.267,2044,136.267,Player 266,,0.94194,-0.04496,1.00141,0.09136
Home,SET PIECE,GOAL KICK,1,2062,137.467,2062,137.467,Player 301,,0.96043,0.07671,0.96043,0.07671
Home,BALL LOST,OUT,1,2064,137.6,2064,137.6,Player 301,,0.96585,0.09344,1.06124,0.20153
Home,SET PIECE,GOAL KICK,1,2069,137.933,2069,137.933,Player 50,,1.06124,0.20153,1.06124,0.20153
Home,BALL LOST,OUT,1,2073,138.2,2073,138.2,Player 50,,1.05168,0.27967,1.00476,0.36452
Home,SET PIECE,,1,2189,145.933,2189,145.933,Player 310,,0.86207,0.55603,0.86207,0.55603
Home,PASS,,1,2245,149.667,2288,152.533,Player 310,Player 317,0.86788,0.5363,0.87893,0.4468
Home,PASS,,1,2304,153.6,2623,174.867,Player 317,Player 310,0.87923,0.44587,0.79516,0.37436
Home,BALL LOST,INTERCEPTION,1,2700,180.0,2704,180.267,Player 310,,0.71426,0.46644,0.71402,0.48619
Away,RECOVERY,INTERCEPTION,1,2704,180.267,2704,180.267,Player 259,,0.71402,0.48619,0.71402,0.48619
Away,PASS,,1,2724,181.6,2731,182.067,Player 259,Player 378,0.71006,0.54999,0.58753,0.54356
Away,PASS,,1,2733,182.2,2736,182.4,Player 378,Player 259,0.55251,0.54172,0.5,0.53896
Away,PASS,,1,2740,182.667,2743,182.867,Player 259,Player 378,0.5,0.54011,0.57403,0.5653
Away,PASS,,1,2745,183.0,2749,183.267,Player 378,Player 259,0.62338,0.5821,0.72208,0.61569
Away,PASS,,1,2750,183.333,2811,187.4,Player 259,Player 12,0.7262,0.60791,0.81129,0.97528
Away,BALL LOST,,1,2831,188.733,2832,188.8,Player 12,,0.7066,0.90194,0.68983,0.87257
Home,RECOVERY,,1,2832,188.8,2832,188.8,Player 300,,0.68983,0.87257,0.68983,0.87257
Home,BALL LOST,INTERCEPTION,1,2840,189.333,2850,190.0,Player 300,,0.67046,0.89336,0.58999,0.93287
Away,RECOVERY,INTERCEPTION,1,2850,190.0,2850,190.0,Player 3,,0.58999,0.93287,0.58999,0.93287
Home,PASS,,1,2864,190.933,2865,191.0,Player 306,Player 195,0.51638,0.86958,0.49858,0.84518
Home,BALL LOST,INTERCEPTION,1,2866,191.067,2875,191.667,Player 195,,0.48079,0.82077,0.32063,0.60114
Away,RECOVERY,INTERCEPTION,1,2875,191.667,2875,191.667,Player 386,,0.32063,0.60114,0.32063,0.60114
Away,BALL LOST,INTERCEPTION,1,2920,194.667,3128,208.533,Player 386,,0.18212,0.56067,0.17757,0.53473
Home,RECOVERY,INTERCEPTION,1,3128,208.533,3128,208.533,Player 11,,0.17757,0.53473,0.17757,0.53473
Home,BALL LOST,INTERCEPTION,1,3138,209.2,3148,209.867,Player 11,,0.16532,0.49853,0.09722,0.54025
Away,RECOVERY,INTERCEPTION,1,3148,209.867,3148,209.867,Player 386,,0.09722,0.54025,0.09722,0.54025
Away,BALL LOST,INTERCEPTION,1,3191,212.733,3194,212.933,Player 386,,0.10286,0.54182,0.17396,0.50164
Home,RECOVERY,INTERCEPTION,1,3194,212.933,3194,212.933,Player 11,,0.17396,0.50164,0.17396,0.50164
Home,PASS,,1,3209,213.933,3210,214.0,Player 11,Player 301,0.17111,0.49233,0.18101,0.52794
Home,PASS,,1,3212,214.133,3231,215.4,Player 301,Player 300,0.20082,0.59917,0.28623,0.70624
Home,BALL LOST,INTERCEPTION,1,3583,238.867,3593,239.533,Player 417,,0.95242,0.44486,0.97044,0.44419
Away,RECOVERY,INTERCEPTION,1,3593,239.533,3593,239.533,Player 477,,0.97044,0.44419,0.97044,0.44419
Away,BALL LOST,,1,3605,240.333,3606,240.4,Player 477,,0.99206,0.44339,0.98915,0.44323
Home,RECOVERY,,1,3606,240.4,3606,240.4,Player 417,,0.98915,0.44323,0.98915,0.44323
Home,PASS,LONG BALL,1,3642,242.8,3671,244.733,Player 417,Player 430,0.91359,0.40739,0.20119,0.29961
Home,BALL LOST,INTERCEPTION,1,3686,245.733,3692,246.133,Player 430,,0.25338,0.2769,0.34213,0.2453
Away,RECOVERY,INTERCEPTION,1,3692,246.133,3692,246.133,Player 406,,0.34213,0.2453,0.34213,0.2453
Away,PASS,,1,3695,246.333,3714,247.6,Player 406,Player 494,0.37853,0.23281,0.46987,0.20599
Away,BALL LOST,INTERCEPTION,1,3715,247.667,3731,248.733,Player 494,,0.49306,0.21585,0.86413,0.37363
Home,RECOVERY,INTERCEPTION,1,3731,248.733,3731,248.733,Player 417,,0.86413,0.37363,0.86413,0.37363
Home,PASS,LONG BALL,1,3830,255.333,3853,256.867,Player 417,Player 120,0.91691,0.364,0.47124,0.90774
Home,PASS,LONG BALL,1,3865,257.667,3885,259.0,Player 120,Player 518,0.49546,0.91609,0.98131,0.80387
Home,BALL LOST,OUT,1,3896,259.733,3896,259.733,Player 518,,1.00707,0.79859,1.00238,0.8046
