Team,Type,Subtype,Period,Start Frame,Start Time [s],End Frame,End Time [s],From,To,Start X,Start Y,End X,End Y,Verdict,Original Type
Home,SET PIECE,,1,7,0.467,7,0.467,Player 16,,0.64286,0.9033,0.64286,0.9033,REJECTED,SET PIECE
Home,PASS,,1,37,2.467,59,3.933,Player 16,Player 21,0.60321,0.90564,0.54261,0.38427,REJECTED,PASS
Home,PASS,,1,108,7.2,139,9.267,Player 21,Player 22,0.55071,0.3572,0.57093,0.14146,REJECTED,PASS
Away,PASS,,1,143,9.533,168,11.2,Player 37,Player 1,0.50892,0.16652,0.32119,0.4545,REJECTED,PASS
Home,BALL LOST,,1,182,12.133,326,21.733,Player 15,,0.29533,0.43069,0.22099,0.37628,REJECTED,BALL LOST
Away,RECOVERY,,1,326,21.733,326,21.733,Player 6,,0.22099,0.37628,0.22099,0.37628,REJECTED,RECOVERY
Away,BALL LOST,,1,368,24.533,369,24.6,Player 9,,0.23831,0.36027,0.24137,0.36286,REJECTED,BALL LOST
Home,RECOVERY,,1,369,24.6,369,24.6,Player 87,,0.24137,0.36286,0.24137,0.36286,REJECTED,RECOVERY
Home,PASS,,1,373,24.867,387,25.8,Player 87,Player 107,0.26781,0.36038,0.57136,0.27113,REJECTED,PASS
Home,PASS,,1,393,26.2,406,27.067,Player 107,Player 109,0.58491,0.25738,0.448,0.24334,REJECTED,PASS
Home,PASS,,1,407,27.133,416,27.733,Player 109,Player 15,0.45409,0.24354,0.49382,0.44293,REJECTED,PASS
Home,PASS,,1,443,29.533,462,30.8,Player 15,Player 4,0.56074,0.53276,0.25577,0.40787,REJECTED,PASS
Home,BALL LOST,,1,470,31.333,474,31.6,Player 4,,0.23845,0.40269,0.19458,0.38235,REJECTED,BALL LOST
Away,RECOVERY,,1,474,31.6,474,31.6,Player 7,,0.19458,0.38235,0.19458,0.38235,REJECTED,RECOVERY
Away,BALL LOST,,1,480,32.0,511,34.067,Player 120,,0.18834,0.37717,0.8446,0.37031,REJECTED,BALL LOST
2.0,RECOVERY,,1,511,34.067,511,34.067,Player 14,,0.8446,0.37031,0.8446,0.37031,REJECTED,RECOVERY
Away,CHALLENGE,,1,581,38.733,593,39.533,Player 6,,0.5,0.48493,0.5,0.49699,REJECTED,CHALLENGE
Home,CHALLENGE,,1,581,38.733,593,39.533,Player 17,,0.5,0.48493,0.5,0.49699,REJECTED,CHALLENGE
Home,PASS,,1,595,39.667,602,40.133,Player 17,Player 3,0.5,0.50139,0.5,0.6488,REJECTED,PASS
Away,PASS,,1,618,41.2,628,41.867,Player 9,Player 1,0.69448,0.48201,0.77813,0.65601,REJECTED,PASS
Away,PASS,,1,708,47.2,733,48.867,Player 195,Player 50,0.62074,0.94777,0.60519,0.79525,REJECTED,PASS
Away,PASS,,1,737,49.133,743,49.533,Player 50,Player 195,0.59047,0.81249,0.62154,0.93239,REJECTED,PASS
Away,PASS,,1,753,50.2,770,51.333,Player 47,Player 195,0.60866,0.93861,0.64747,0.93059,REJECTED,PASS
Away,BALL LOST,,1,771,51.4,771,51.4,Player 195,,0.6456,0.90191,0.65508,1.03014,REJECTED,BALL LOST
Away,SET PIECE,,1,862,57.467,862,57.467,Player 64,,0.63328,0.86473,0.63328,0.86473,REJECTED,SET PIECE
Away,PASS,,1,881,58.733,882,58.8,Player 47,Player 64,0.60732,0.91053,0.61901,0.88112,REJECTED,PASS
Away,BALL LOST,,1,883,58.867,926,61.733,Player 64,,0.6307,0.85172,0.82652,0.42446,REJECTED,BALL LOST
2.0,RECOVERY,,1,926,61.733,926,61.733,Player 14,,0.82652,0.42446,0.82652,0.42446,REJECTED,RECOVERY
2.0,SHOT,,1,1076,71.733,1277,85.133,Player 14,,0.8651,0.37351,0.66298,0.25241,REJECTED,SHOT
Away,BALL LOST,,1,1322,88.133,1444,96.267,Player 189,,0.20014,0.34249,0.94383,0.41469,REJECTED,BALL LOST
2.0,RECOVERY,,1,1444,96.267,1444,96.267,Player 270,,0.94383,0.41469,0.94383,0.41469,REJECTED,RECOVERY
Home,PASS,,1,1794,119.6,1799,119.933,Player 107,Player 259,0.81593,0.49222,0.85782,0.53919,REJECTED,PASS
Home,BALL LOST,,1,1807,120.467,1814,120.933,Player 259,,0.83978,0.6149,0.83929,0.83407,REJECTED,BALL LOST
Away,RECOVERY,,1,1814,120.933,1814,120.933,Player 195,,0.83929,0.83407,0.83929,0.83407,REJECTED,RECOVERY
Away,PASS,,1,1839,122.6,1840,122.667,Player 47,Player 195,0.76738,0.85439,0.78455,0.8681,REJECTED,PASS
Away,BALL LOST,,1,1843,122.867,1844,122.933,Player 195,,0.80225,0.88256,0.80279,0.88276,REJECTED,BALL LOST
Home,RECOVERY,,1,1844,122.933,1844,122.933,Player 194,,0.80279,0.88276,0.80279,0.88276,REJECTED,RECOVERY
Home,BALL LOST,,1,1851,123.4,1852,123.467,Player 194,,0.79713,0.87959,0.79491,0.87825,REJECTED,BALL LOST
Away,RECOVERY,,1,1852,123.467,1852,123.467,Player 195,,0.79491,0.87825,0.79491,0.87825,REJECTED,RECOVERY
Away,BALL LOST,,1,1909,127.267,1917,127.8,Player 195,,0.74521,0.8635,0.73237,0.81419,REJECTED,BALL LOST
Home,RECOVERY,,1,1917,127.8,1917,127.8,Player 71,,0.73237,0.81419,0.73237,0.81419,REJECTED,RECOVERY
Home,BALL LOST,,1,1940,129.333,1941,129.4,Player 260,,0.73666,0.79709,0.73543,0.79619,REJECTED,BALL LOST
Away,RECOVERY,,1,1941,129.4,1941,129.4,Player 310,,0.73543,0.79619,0.73543,0.79619,REJECTED,RECOVERY
Away,PASS,,1,1964,130.933,2008,133.867,Player 310,Player 266,0.71322,0.71637,0.78887,0.09616,REJECTED,PASS
Away,BALL LOST,,1,2021,134.733,2021,134.733,Player 266,,0.82317,-0.01666,0.7897,-0.00545,REJECTED,BALL LOST
Away,SET PIECE,,1,2189,145.933,2189,145.933,Player 310,,0.86241,0.55516,0.86241,0.55516,REJECTED,SET PIECE
Away,PASS,,1,2225,148.333,2227,148.467,Player 310,Player 50,0.87205,0.47647,0.86016,0.44354,REJECTED,PASS
Away,PASS,,1,2233,148.867,2237,149.133,Player 331,Player 310,0.85151,0.42643,0.86377,0.46946,REJECTED,PASS
2.0,BALL LOST,,1,2304,153.6,2358,157.2,Player 317,,0.87923,0.44587,0.92776,0.67801,REJECTED,BALL LOST
Home,RECOVERY,,1,2358,157.2,2358,157.2,Player 259,,0.92776,0.67801,0.92776,0.67801,REJECTED,RECOVERY
Home,SHOT,,1,2373,158.2,2553,170.2,Player 259,,0.91492,0.66271,0.95,0.58553,REJECTED,SHOT
2.0,BALL LOST,,1,2582,172.133,2622,174.8,Player 317,,0.92597,0.54116,0.79331,0.37316,REJECTED,BALL LOST
Away,RECOVERY,,1,2622,174.8,2622,174.8,Player 310,,0.79331,0.37316,0.79331,0.37316,REJECTED,RECOVERY
